"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
Afghanistan,175414.0,270.0,7630.0,4.0,157867.0,98.0,9917.0,1124.0,4342.0,189.0,899437.0,22262.0,40402155.0,Asia,2022-03-08
Maldives,173337.0,273.0,297.0,,158644.0,410.0,14396.0,25.0,311447.0,534.0,2204721.0,3961386.0,556553.0,Asia,2022-03-08
Uganda,163416.0,14.0,3592.0,,100075.0,11.0,59749.0,35.0,3393.0,75.0,2485640.0,51603.0,48168074.0,Africa,2022-03-08
Ghana,160658.0,630.0,1442.0,,158637.0,638.0,579.0,1.0,4995.0,45.0,2321483.0,72178.0,32163418.0,Africa,2022-03-08
Namibia,157358.0,8.0,4014.0,,153069.0,,275.0,1.0,60100.0,1533.0,963384.0,367945.0,2618281.0,Africa,2022-03-08
El Salvador,156364.0,,4092.0,1.0,132410.0,,19862.0,153.0,23904.0,626.0,1758939.0,268899.0,6541269.0,North America,2022-03-08
Iceland,150466.0,3315.0,73.0,2.0,75685.0,,74708.0,5.0,436173.0,212.0,1803092.0,5226823.0,344969.0,Europe,2022-03-08
Laos,144551.0,231.0,633.0,2.0,7660.0,,136258.0,,19395.0,85.0,1002806.0,134548.0,7453124.0,Asia,2022-03-08
Cambodia,133065.0,357.0,3043.0,1.0,127344.0,423.0,2678.0,,7778.0,178.0,2878344.0,168244.0,17108133.0,Asia,2022-03-08
Trinidad and Tobago,130964.0,432.0,3667.0,2.0,104797.0,,22500.0,18.0,93073.0,2606.0,639149.0,454227.0,1407113.0,North America,2022-03-08
Rwanda,129567.0,7.0,1458.0,,45522.0,,82587.0,1.0,9603.0,108.0,4939362.0,366099.0,13491883.0,Africa,2022-03-08
Guadeloupe,128741.0,,837.0,,2250.0,,125654.0,19.0,321660.0,2091.0,938039.0,2343697.0,400239.0,North America,2022-03-08
Jamaica,128228.0,15.0,2831.0,1.0,78946.0,97.0,46451.0,25.0,42988.0,949.0,869342.0,291441.0,2982913.0,North America,2022-03-08
Martinique,126221.0,10270.0,900.0,5.0,104.0,,125217.0,10.0,336791.0,2401.0,738299.0,1969979.0,374775.0,North America,2022-03-08
Cameroon,119322.0,,1926.0,,117263.0,,133.0,13.0,4314.0,70.0,1751774.0,63340.0,27656531.0,Africa,2022-03-08
Angola,98829.0,23.0,1900.0,,96814.0,14.0,115.0,,2858.0,55.0,1450428.0,41939.0,34584050.0,Africa,2022-03-08
Brunei,97018.0,3984.0,151.0,4.0,56642.0,3296.0,40225.0,,218250.0,340.0,717784.0,1614718.0,444526.0,Asia,2022-03-08
DRC,86154.0,,1335.0,,50930.0,,33889.0,,915.0,14.0,846704.0,8994.0,94136520.0,Africa,2022-03-08
Senegal,85772.0,4.0,1962.0,,83737.0,9.0,73.0,1.0,4905.0,112.0,1021410.0,58415.0,17485508.0,Africa,2022-03-08
Malawi,85452.0,12.0,2619.0,,76418.0,166.0,6415.0,67.0,4281.0,131.0,551327.0,27621.0,19960777.0,Africa,2022-03-08
Ivory Coast,81561.0,5.0,795.0,,80508.0,125.0,258.0,,2968.0,29.0,1431243.0,52090.0,27476201.0,Africa,2022-03-08
Suriname,78579.0,68.0,1319.0,1.0,49364.0,,27896.0,1.0,131960.0,2215.0,230881.0,387726.0,595474.0,South America,2022-03-08
French Guiana,77931.0,65.0,394.0,,11254.0,,66283.0,4.0,250024.0,1264.0,600744.0,1927352.0,311694.0,South America,2022-03-08
Malta,72130.0,159.0,610.0,1.0,70158.0,69.0,1362.0,3.0,162630.0,1375.0,1211456.0,2731445.0,443522.0,Europe,2022-03-08
Eswatini,69331.0,24.0,1391.0,,67841.0,6.0,99.0,11.0,58737.0,1178.0,482935.0,409138.0,1180371.0,Africa,2022-03-08
French Polynesia,68975.0,,643.0,,,,,7.0,243178.0,2267.0,,,283640.0,Australia/Oceania,2022-03-08
Fiji,64048.0,14.0,834.0,,62189.0,10.0,1025.0,,70586.0,919.0,498190.0,549046.0,907374.0,Australia/Oceania,2022-03-08
Madagascar,63791.0,,1373.0,,59002.0,,3416.0,26.0,2208.0,48.0,401851.0,13911.0,28887501.0,Africa,2022-03-08
Guyana,63076.0,14.0,1223.0,,61612.0,5.0,241.0,4.0,79547.0,1542.0,546843.0,689642.0,792938.0,South America,2022-03-08
Sudan,61631.0,6.0,4865.0,,,,,,1352.0,107.0,562941.0,12353.0,45570268.0,Africa,2022-03-08
New Caledonia,58733.0,642.0,304.0,2.0,54584.0,1017.0,3845.0,18.0,202447.0,1048.0,98964.0,341120.0,290115.0,Australia/Oceania,2022-03-08
Mauritania,58654.0,2.0,980.0,,57644.0,3.0,30.0,30.0,12081.0,202.0,755263.0,155562.0,4855066.0,Africa,2022-03-08
Belize,56952.0,76.0,652.0,1.0,55539.0,312.0,761.0,6.0,138987.0,1591.0,507809.0,1239266.0,409766.0,North America,2022-03-08
Barbados,56376.0,156.0,323.0,1.0,54685.0,218.0,1368.0,,195772.0,1122.0,593238.0,2060090.0,287967.0,North America,2022-03-08
Cabo Verde,55903.0,5.0,401.0,,55432.0,1.0,70.0,23.0,98743.0,708.0,400982.0,708267.0,566145.0,Africa,2022-03-08
Channel Islands,55432.0,1508.0,146.0,,51537.0,1122.0,3749.0,,313957.0,827.0,1218777.0,6902945.0,176559.0,Europe,2022-03-08
Syria,55140.0,55.0,3102.0,3.0,48626.0,179.0,3412.0,,3027.0,170.0,146269.0,8030.0,18215257.0,Asia,2022-03-08
Gabon,47562.0,3.0,303.0,,47196.0,130.0,63.0,1.0,20554.0,131.0,1577915.0,681895.0,2314015.0,Africa,2022-03-08
Papua New Guinea,41533.0,,639.0,,39905.0,,989.0,7.0,4499.0,69.0,249149.0,26988.0,9231996.0,Australia/Oceania,2022-03-08
Seychelles,39605.0,202.0,163.0,,39212.0,289.0,230.0,,398557.0,1640.0,,,99371.0,Africa,2022-03-08
Curaçao,39133.0,,264.0,,38533.0,,336.0,3.0,236851.0,1598.0,494095.0,2990492.0,165222.0,North America,2022-03-08
Andorra,38710.0,90.0,152.0,1.0,37858.0,42.0,700.0,14.0,499658.0,1962.0,249838.0,3224840.0,77473.0,Europe,2022-03-08
Burundi,38178.0,,38.0,,773.0,,37367.0,,3058.0,3.0,345742.0,27691.0,12485860.0,Africa,2022-03-08
Togo,36838.0,5.0,272.0,,36427.0,2.0,139.0,,4281.0,32.0,698575.0,81184.0,8604883.0,Africa,2022-03-08
Mayotte,36703.0,,187.0,,2964.0,,33552.0,,129291.0,659.0,176919.0,623220.0,283879.0,Africa,2022-03-08
Guinea,36427.0,,440.0,,33000.0,,2987.0,8.0,2653.0,32.0,660107.0,48073.0,13731461.0,Africa,2022-03-08
Faeroe Islands,34237.0,,28.0,,7693.0,,26516.0,5.0,696228.0,569.0,778000.0,15821047.0,49175.0,Europe,2022-03-08
Aruba,33732.0,,212.0,,33462.0,,58.0,7.0,313701.0,1972.0,177885.0,1654298.0,107529.0,North America,2022-03-08
Tanzania,33620.0,,798.0,,,,,7.0,537.0,13.0,,,62593415.0,Africa,2022-03-08
Bahamas,33180.0,4.0,771.0,,32052.0,20.0,357.0,9.0,83040.0,1930.0,222828.0,557676.0,399565.0,North America,2022-03-08
Mauritius,33138.0,93.0,786.0,,29518.0,252.0,2834.0,,25984.0,616.0,358675.0,281243.0,1275319.0,Africa,2022-03-08
Lesotho,32716.0,9.0,697.0,,23461.0,24.0,8558.0,,15071.0,321.0,407836.0,187872.0,2170819.0,Africa,2022-03-08
Mali,30401.0,3.0,725.0,,29557.0,4.0,119.0,,1432.0,34.0,629037.0,29628.0,21231002.0,Africa,2022-03-08
Haiti,30385.0,,823.0,,25485.0,,4077.0,,2611.0,71.0,132422.0,11380.0,11636340.0,North America,2022-03-08
Benin,26575.0,,163.0,,25506.0,,906.0,5.0,2100.0,13.0,604310.0,47746.0,12656886.0,Africa,2022-03-08
Somalia,26400.0,,1348.0,,13182.0,,11870.0,,1587.0,81.0,400466.0,24069.0,16638378.0,Africa,2022-03-08
Congo,24020.0,,378.0,,20178.0,,3464.0,,4180.0,66.0,347815.0,60528.0,5746384.0,Africa,2022-03-08
Isle of Man,23777.0,173.0,80.0,,22853.0,115.0,844.0,,277154.0,933.0,150753.0,1757233.0,85790.0,Europe,2022-03-08
Saint Lucia,22808.0,13.0,364.0,2.0,22379.0,18.0,65.0,2.0,123261.0,1967.0,137087.0,740855.0,185039.0,North America,2022-03-08
Timor-Leste,22759.0,,129.0,,22440.0,,190.0,9.0,16726.0,95.0,248770.0,182829.0,1360668.0,Asia,2022-03-08
Taiwan,20922.0,53.0,853.0,,18876.0,64.0,1193.0,,876.0,36.0,11878915.0,497248.0,23889306.0,Asia,2022-03-08
Burkina Faso,20751.0,,375.0,,20309.0,,67.0,,949.0,17.0,248995.0,11387.0,21866551.0,Africa,2022-03-08
Cayman Islands,19373.0,,17.0,,8553.0,,10803.0,2.0,289063.0,254.0,222773.0,3323978.0,67020.0,North America,2022-03-08
Nicaragua,18203.0,98.0,222.0,1.0,4225.0,,13756.0,,2694.0,33.0,,,6757129.0,North America,2022-03-08
Tajikistan,17388.0,,124.0,,17263.0,,1.0,,1757.0,13.0,,,9897769.0,Asia,2022-03-08
South Sudan,17025.0,10.0,137.0,,13494.0,216.0,3394.0,1.0,1492.0,12.0,344817.0,30209.0,11414478.0,Africa,2022-03-08
Equatorial Guinea,15894.0,,183.0,,15670.0,,41.0,5.0,10736.0,124.0,290997.0,196563.0,1480423.0,Africa,2022-03-08
Gibraltar,15717.0,40.0,101.0,,15304.0,59.0,312.0,10.0,466740.0,2999.0,519866.0,15438202.0,33674.0,Europe,2022-03-08
