"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Lebanon,"1,100,648",+243,"10,443 ",+1,"1,087,277",+76,"2,928",186,"162,668","1,543","4,795,578","708,755","6,766,204 ",Asia
Lithuania,"1,063,835",+171,"9,153 ",+1,"1,037,242",+104,"17,440",8,"401,644","3,456","9,989,932","3,771,630","2,648,704 ",Europe
Tunisia,"1,043,540",,"28,648 ",,N/A,N/A,N/A,29,"86,541","2,376","4,640,840","384,864","12,058,391 ",Africa
Slovenia,"1,027,821",+289,"6,644 ",+1,"1,017,602",+294,"3,575",7,"494,265","3,195","2,672,468","1,285,154","2,079,492 ",Europe
Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A,,"104,081",739,"13,220,483","1,399,986","9,443,298 ",Europe
Nepal,"979,242",+7,"11,952 ",,"967,181",+10,109,,"32,476",396,"5,725,215","189,873","30,152,792 ",Asia
Uruguay,"934,961",,"7,262 ",,"920,062",,"7,637",18,"267,356","2,077","6,114,822","1,748,556","3,497,069 ",South America
Mongolia,"925,227",,"2,179 ",,N/A,N/A,N/A,192,"273,684",645,"4,030,048","1,192,095","3,380,643 ",Asia
UAE,"915,068","+1,084","2,305 ",,"897,324",+876,"15,439",,"90,403",228,"164,645,922","16,266,001","10,122,090 ",Asia
Bolivia,"911,635",+447,"21,950 ",,"874,175",+433,"15,510",220,"76,085","1,832","2,705,422","225,795","11,981,738 ",South America
Costa Rica,"904,934",,"8,525 ",,"860,711",,"35,698",52,"174,553","1,644","4,659,757","898,819","5,184,308 ",North America
Panama,"887,637","+2,591","8,295 ",+7,"852,523","+3,811","26,819",16,"199,628","1,866","6,391,158","1,437,361","4,446,453 ",North America
Ecuador,"887,478",,"35,652 ",,N/A,N/A,N/A,759,"48,863","1,963","2,470,170","136,004","18,162,470 ",South America
Guatemala,"869,645","+2,344","18,270 ",+26,"844,580","+1,054","6,795",5,"46,861",984,"4,741,473","255,494","18,558,060 ",North America
Latvia,"830,281",+205,"5,837 ",,"822,254",+185,"2,190",6,"449,823","3,162","7,283,849","3,946,190","1,845,793 ",Europe
